FID,gid,capacity_factor
west_wind_site_metadata.90486,90486,17.015625
west_wind_site_metadata.90487,90487,21.046875
west_wind_site_metadata.90488,90488,24.015625
west_wind_site_metadata.90489,90489,29.78125
west_wind_site_metadata.90490,90490,32.34375
west_wind_site_metadata.90491,90491,35.28125
west_wind_site_metadata.90492,90492,34.1875
west_wind_site_metadata.90493,90493,35
west_wind_site_metadata.90494,90494,33.5625
west_wind_site_metadata.90495,90495,34.28125
west_wind_site_metadata.90496,90496,33.1875
west_wind_site_metadata.90497,90497,32.8125
west_wind_site_metadata.90498,90498,32.25
west_wind_site_metadata.90499,90499,31.765625
west_wind_site_metadata.90500,90500,31.390625
west_wind_site_metadata.90501,90501,30.90625
west_wind_site_metadata.90502,90502,30.578125
west_wind_site_metadata.90503,90503,30.125
